Reference ID,Category,Name,Tiers - Level 1 (from Child ERS(s)),Local Controls (Linked),Framework (from Local Controls (Linked)),Sort Order
ER-1,Configuration,[Configuration] Data Encryption at Rest,"Security,PCI DSS v4.0 - ROC - Merchant","REQ-34,REQ-33,04.01x1Organizational.5,A.05.14,A.05.33,A.08.24a,REQ-33-SOC1,REQ-34-SOC1,REQ-33-HIPAA,REQ-34-HIPAA,1903.06d1Organizational.3456711,3.5.1,3.5.1.1,3.5.1.2,3.5.1.3,REQ-34,REQ-33,04.01x1Organizational.5,A.05.14,A.05.33,A.08.24a,REQ-33-SOC1,REQ-34-SOC1,REQ-33-HIPAA,REQ-34-HIPAA,1903.06d1Organizational.3456711,3.5.1,3.5.1.1,3.5.1.2,3.5.1.3,04.01x1Organizational.5,REQ-34,REQ-33,04.01x1Organizational.5,A.05.14,A.05.33,A.08.24a,REQ-33-SOC1,REQ-34-SOC1,REQ-33-HIPAA,REQ-34-HIPAA,REQ-35-HIPAA,1903.06d1Organizational.3456711,04.01x1Organizational.5,1903.06d1Organizational.3456711,1903.06d1Organizational.3456711,3.5.1,3.5.1.1,3.5.1.2,3.5.1.3","SOC 2,SOC 2,HITRUST,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,HITRUST,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,SOC 2,SOC 2,HITRUST,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,HITRUST,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,HITRUST,SOC 2,SOC 2,HITRUST,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,HIPAA Security,HITRUST,HITRUST,HITRUST,HITRUST,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0",1
ER-3,Configuration,[Configuration] Encryption In Transit (Ex. TLS Protocols),"Security,PCI DSS v4.0 - ROC - Merchant","REQ-35,REQ-33,04.01x1Organizational.5,A.05.14,A.05.33,A.08.24a,REQ-33-SOC1,REQ-35-SOC1,0913.09s1Organizational.5,1013.01r1System.2,0862.09m2Organizational.8,0928.09v2Organizational.1,REQ-33-HIPAA,REQ-35-HIPAA,0945.09y1Organizational.3,0954.10d1System.1,0903.10f1Organizational.1.a,4.2.1,4.2.1.1,4.2.2,0913.09s1Organizational.5,1013.01r1System.2,0862.09m2Organizational.8,0928.09v2Organizational.1,0903.10f1Organizational.1.a,0945.09y1Organizational.3,0954.10d1System.1,4.2.1,4.2.1.1,4.2.2,0913.09s1Organizational.5,1013.01r1System.2,0862.09m2Organizational.8,0928.09v2Organizational.1,0903.10f1Organizational.1.a,0954.10d1System.1,0945.09y1Organizational.3,0913.09s1Organizational.5,1013.01r1System.2,0862.09m2Organizational.8,0928.09v2Organizational.1,0903.10f1Organizational.1.a,4.2.1,0945.09y1Organizational.3,4.2.1,0954.10d1System.1,4.2.1,0954.10d1System.1,4.2.1,0913.09s1Organizational.5,1013.01r1System.2,0862.09m2Organizational.8,0928.09v2Organizational.1,0903.10f1Organizational.1.a,0945.09y1Organizational.3,0954.10d1System.1,4.2.1,4.2.1.1,4.2.2","SOC 2,SOC 2,HITRUST,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HITRUST,HITRUST,HITRUST,HITRUST,HIPAA Security,HIPAA Security,HITRUST,HITRUST,HITRUST,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,PCI DSS v4.0,HITRUST,PCI DSS v4.0,HITRUST,PCI DSS v4.0,HITRUST,PCI DSS v4.0,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0",2
ER-12,Configuration,"[Configuration] List of All Production Systems (Servers, VMs, Data Stores)","Security,PCI DSS v4.0 - ROC - Merchant","REQ-33,REQ-43,REQ-34,A.05.09,REQ-33-SOC1,REQ-34-SOC1,REQ-43-SOC1,REQ-33-HIPAA,REQ-34-HIPAA,REQ-43-HIPAA,REQ-102-HIPAA,0701.07a1Organizational.8,0701.07a1Organizational.7,07.07a1Organizational.8,1.1.2,2.1.2,4.1.2,5.1.2,6.1.2,7.1.2,8.1.2,9.1.2,10.1.2,11.1.2,3.1.2,REQ-33,REQ-43,REQ-34,A.05.09,REQ-33-SOC1,REQ-34-SOC1,REQ-43-SOC1,REQ-33-HIPAA,REQ-34-HIPAA,REQ-43-HIPAA,REQ-102-HIPAA,0701.07a1Organizational.8,0701.07a1Organizational.7,07.07a1Organizational.8,1.1.2,2.1.2,4.1.2,5.1.2,6.1.2,7.1.2,8.1.2,9.1.2,10.1.2,11.1.2,3.1.2,REQ-33,REQ-43,REQ-34,A.05.09,REQ-33-SOC1,REQ-34-SOC1,REQ-43-SOC1,REQ-33-HIPAA,REQ-34-HIPAA,REQ-43-HIPAA,REQ-102-HIPAA,0701.07a1Organizational.7,1.1.2,2.1.2,4.1.2,5.1.2,6.1.2,7.1.2,8.1.2,9.1.2,10.1.2,11.1.2,3.1.2,REQ-33,REQ-43,REQ-34,A.05.09,REQ-33-SOC1,REQ-34-SOC1,REQ-43-SOC1,REQ-33-HIPAA,REQ-34-HIPAA,REQ-43-HIPAA,REQ-102-HIPAA,0701.07a1Organizational.7,1.1.2,2.1.2,4.1.2,5.1.2,6.1.2,7.1.2,8.1.2,9.1.2,10.1.2,11.1.2,3.1.2,REQ-33,REQ-43,REQ-34,A.05.09,REQ-33-SOC1,REQ-34-SOC1,REQ-43-SOC1,REQ-33-HIPAA,REQ-34-HIPAA,REQ-43-HIPAA,REQ-102-HIPAA,0701.07a1Organizational.7,1.1.2,2.1.2,4.1.2,5.1.2,6.1.2,7.1.2,8.1.2,9.1.2,10.1.2,11.1.2,3.1.2,0701.07a1Organizational.8,0701.07a1Organizational.8,07.07a1Organizational.8","SOC 2,SOC 2,SOC 2,ISO 27001/2 (2022),SOC 1,SOC 1,SOC 1,HIPAA Security,HIPAA Security,HIPAA Security,HIPAA Security,HITRUST,HITRUST,HITRUST,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,SOC 2,SOC 2,SOC 2,ISO 27001/2 (2022),SOC 1,SOC 1,SOC 1,HIPAA Security,HIPAA Security,HIPAA Security,HIPAA Security,HITRUST,HITRUST,HITRUST,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,SOC 2,SOC 2,SOC 2,ISO 27001/2 (2022),SOC 1,SOC 1,SOC 1,HIPAA Security,HIPAA Security,HIPAA Security,HIPAA Security,HITRUST,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,SOC 2,SOC 2,SOC 2,ISO 27001/2 (2022),SOC 1,SOC 1,SOC 1,HIPAA Security,HIPAA Security,HIPAA Security,HIPAA Security,HITRUST,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,SOC 2,SOC 2,SOC 2,ISO 27001/2 (2022),SOC 1,SOC 1,SOC 1,HIPAA Security,HIPAA Security,HIPAA Security,HIPAA Security,HITRUST,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,HITRUST,HITRUST,HITRUST",11
ER-16,Sample,[Sample] Critical Vendor Assessments,"Security,PCI DSS v4.0 - SAQ-A","REQ-23,A.05.22,REQ-23-SOC1,REQ-23-HIPAA,12.8.1,12.8.3,12.8.4,REQ-23,A.05.22,REQ-23-SOC1,REQ-23-HIPAA,12.8.1,12.8.3,12.8.4,REQ-23,A.05.22,REQ-23-SOC1,REQ-23-HIPAA,12.8.3,REQ-23,A.05.22,REQ-23-SOC1,REQ-23-HIPAA,12.8.3,REQ-23,A.05.22,REQ-23-SOC1,REQ-23-HIPAA,12.8.3,12.8.1,12.8.3,12.8.4","SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security,PCI DSS v4.0,SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security,PCI DSS v4.0,SOC 2,ISO 27001/2 (2022),SOC 1,HIPAA Security,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0",15
ER-18,Configuration,[Configuration] Anti-malware and Alerts,"Security,PCI DSS v4.0 - ROC - Merchant","REQ-38,0226.09k1Organizational.2,A.08.07,08.09m1Organizational.8,REQ-38-SOC1,REQ-38-HIPAA,02962.09j1Organizational.5,0207.09j1Organizational.6,5.2.1,5.2.2,5.3.3,5.3.5,5.4.1,REQ-38,0226.09k1Organizational.2,A.08.07,08.09m1Organizational.8,REQ-38-SOC1,REQ-38-HIPAA,02962.09j1Organizational.5,0207.09j1Organizational.6,5.2.1,5.3.3,5.3.5,5.4.1,REQ-38,0226.09k1Organizational.2,A.08.07,REQ-38-SOC1,REQ-38-HIPAA,REQ-38,0226.09k1Organizational.2,A.08.07,REQ-38-SOC1,REQ-38-HIPAA,REQ-38,0226.09k1Organizational.2,A.08.07,REQ-38-SOC1,REQ-38-HIPAA,REQ-38,0226.09k1Organizational.2,A.08.07,REQ-38-SOC1,REQ-38-HIPAA,08.09m1Organizational.8,0226.09k1Organizational.2,0226.09k1Organizational.2,08.09m1Organizational.8,0207.09j1Organizational.6,02962.09j1Organizational.5,0207.09j1Organizational.6,5.3.5,5.2.1,5.3.3,5.4.1","SOC 2,HITRUST,ISO 27001/2 (2022),HITRUST,SOC 1,HIPAA Security,HITRUST,HITRUST,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,SOC 2,HITRUST,ISO 27001/2 (2022),HITRUST,SOC 1,HIPAA Security,HITRUST,HITRUST,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,SOC 2,HITRUST,ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,HITRUST,ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,HITRUST,ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,HITRUST,ISO 27001/2 (2022),SOC 1,HIPAA Security,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,HITRUST,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0",17
ER-20,Sample,[Sample] New Hire Signed Code of Conduct,Security,"REQ-8,A.06.02,A.06.04,A.06.05,A.06.06,A.06.07,REQ-8-SOC1,REQ-8-HIPAA,0104.02a1Organizational.12,0210.01g1Organizational.1,REQ-8,A.06.02,A.06.04,A.06.05,A.06.06,A.06.07,REQ-8-SOC1,REQ-8-HIPAA,0104.02a1Organizational.12,0210.01g1Organizational.1,REQ-8,A.06.02,A.06.04,A.06.05,A.06.06,A.06.07,REQ-8-SOC1,REQ-8-HIPAA,0104.02a1Organizational.12,0210.01g1Organizational.1","SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,HITRUST,HITRUST,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,HITRUST,HITRUST,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,HITRUST,HITRUST",19
ER-21,Policy,[Policy] Employee Handbook,"Security,PCI DSS v4.0 - ROC - Merchant","REQ-7,REQ-8,A.06.02,A.06.04,A.06.05,A.06.06,A.06.07,REQ-7-SOC1,REQ-8-SOC1,REQ-7-HIPAA,REQ-8-HIPAA,1307.07c1Organizational.124,A.06.08,1.1.1,2.1.1,4.1.1,5.1.1,6.1.1,7.1.1,8.1.1,9.1.1,10.1.1,11.1.1,12.1.1,3.1.1,REQ-7,REQ-8,A.06.02,A.06.04,A.06.05,A.06.06,A.06.07,REQ-7-SOC1,REQ-8-SOC1,REQ-7-HIPAA,REQ-8-HIPAA,1307.07c1Organizational.124,A.06.08,1.1.1,2.1.1,4.1.1,5.1.1,6.1.1,7.1.1,8.1.1,9.1.1,10.1.1,11.1.1,12.1.1,3.1.1,REQ-7,REQ-8,A.06.02,A.06.04,A.06.05,A.06.06,A.06.07,REQ-7-SOC1,REQ-8-SOC1,REQ-7-HIPAA,REQ-8-HIPAA,1307.07c1Organizational.124,A.06.08,REQ-7,REQ-8,A.06.02,A.06.04,A.06.05,A.06.06,A.06.07,REQ-7-SOC1,REQ-8-SOC1,REQ-7-HIPAA,REQ-8-HIPAA,1307.07c1Organizational.124,A.06.08,REQ-7,REQ-8,A.06.02,A.06.04,A.06.05,A.06.06,A.06.07,REQ-7-SOC1,REQ-8-SOC1,REQ-7-HIPAA,REQ-8-HIPAA,1307.07c1Organizational.124,A.06.08,REQ-7,REQ-8,A.06.02,A.06.04,A.06.05,A.06.06,A.06.07,REQ-7-SOC1,REQ-8-SOC1,REQ-7-HIPAA,REQ-8-HIPAA,1307.07c1Organizational.124,A.06.08,REQ-7,REQ-8,A.06.02,A.06.04,A.06.05,A.06.06,A.06.07,REQ-7-SOC1,REQ-8-SOC1,REQ-7-HIPAA,REQ-8-HIPAA,1307.07c1Organizational.124,A.06.08,1.1.1,2.1.1,4.1.1,5.1.1,6.1.1,7.1.1,8.1.1,9.1.1,10.1.1,11.1.1,12.1.1,3.1.1,1307.07c1Organizational.124","SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,HITRUST,ISO 27001/2 (2022),PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,HITRUST,ISO 27001/2 (2022),PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,HITRUST,ISO 27001/2 (2022),SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,HITRUST,ISO 27001/2 (2022),SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,HITRUST,ISO 27001/2 (2022),SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,HITRUST,ISO 27001/2 (2022),SOC 2,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,SOC 1,HIPAA Security,HIPAA Security,HITRUST,ISO 27001/2 (2022),PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,HITRUST",20
ER-22,Operational,[Operational] Organizational Chart,"Security,PCI DSS v4.0 - ROC - Merchant","REQ-16,A.05.02,A.05.03,REQ-16-SOC1,0117.05a1Organizational.1,REQ-16-HIPAA,1.1.2,2.1.2,4.1.2,5.1.2,6.1.2,7.1.2,8.1.2,9.1.2,10.1.2,11.1.2,3.1.2,REQ-16,A.05.02,A.05.03,REQ-16-SOC1,REQ-16-HIPAA,1.1.2,2.1.2,4.1.2,5.1.2,6.1.2,7.1.2,8.1.2,9.1.2,10.1.2,11.1.2,3.1.2,REQ-16,A.05.02,A.05.03,REQ-16-SOC1,REQ-16-HIPAA,1.1.2,2.1.2,4.1.2,5.1.2,6.1.2,7.1.2,8.1.2,9.1.2,10.1.2,11.1.2,3.1.2,REQ-16,A.05.02,A.05.03,REQ-16-SOC1,REQ-16-HIPAA,1.1.2,2.1.2,4.1.2,5.1.2,6.1.2,7.1.2,8.1.2,9.1.2,10.1.2,11.1.2,3.1.2,REQ-16,A.05.02,A.05.03,REQ-16-SOC1,REQ-16-HIPAA,1.1.2,2.1.2,4.1.2,5.1.2,6.1.2,7.1.2,8.1.2,9.1.2,10.1.2,11.1.2,3.1.2,REQ-16,A.05.02,A.05.03,REQ-16-SOC1,REQ-16-HIPAA,1.1.2,2.1.2,4.1.2,5.1.2,6.1.2,7.1.2,8.1.2,9.1.2,10.1.2,11.1.2,3.1.2,REQ-16,A.05.02,A.05.03,REQ-16-SOC1,REQ-16-HIPAA,1.1.2,2.1.2,4.1.2,5.1.2,6.1.2,7.1.2,8.1.2,9.1.2,10.1.2,11.1.2,3.1.2","SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HITRUST,HIPAA Security,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0",21
ER-23,Sample,[Sample] Current Employee Job Descriptions,Security,"REQ-15,A.05.02,A.05.03,A.05.04,REQ-15-SOC1,REQ-15-HIPAA,REQ-15,A.05.02,A.05.03,A.05.04,REQ-15-SOC1,REQ-15-HIPAA,REQ-15,A.05.02,A.05.03,A.05.04,REQ-15-SOC1,REQ-15-HIPAA,REQ-15,A.05.02,A.05.03,A.05.04,REQ-15-SOC1,REQ-15-HIPAA,REQ-15,A.05.02,A.05.03,A.05.04,REQ-15-SOC1,REQ-15-HIPAA","SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security,SOC 2,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),SOC 1,HIPAA Security",22
ER-24,Policy,[Policy] Password and Multi-Factor Authentication,"Security,PCI DSS v4.0 - SAQ-A,PCI DSS v4.0 - ROC - Merchant","REQ-26,10.01d1System.10,A.05.17,A.05.33,A.08.05a,11.01p1System.5,REQ-26-SOC1,REQ-26-HIPAA,8.3.1,8.3.5,8.3.7,11.01p1System.5,11.01p1System.5","SOC 2,HITRUST,ISO 27001/2 (2022),ISO 27001/2 (2022),ISO 27001/2 (2022),HITRUST,SOC 1,HIPAA Security,PCI DSS v4.0,PCI DSS v4.0,PCI DSS v4.0,HITRUST,HITRUST",23
